Nombre del municipio;Porcentaje 1996;Porcentaje 2001;Porcentaje 2006;Porcentaje 2010;Porcentaje 2011;Porcentaje 2013;Porcentaje 2014;Porcentaje 2015;Porcentaje 2016Abadiño;29.09;0.0;34.82;43.26;56.11;;57.59;58.47;58.78;59.42
Zambrana;31.45;0.0;30.81;38.99;50.28;;56.5;58.59;58.85;60.53
Zamudio;34.15;0.0;35.94;48.05;58.31;;59.63;60.32;60.28;60.85
Zaratamo;27.86;0.0;31.62;39.08;52.13;;54.7;55.3;56.32;57.78
Zeberio;31.18;0.0;37.1;47.96;57.38;;60.6;61.87;63.87;65.59
Zegama;34.14;0.0;30.52;44.43;56.18;;58.56;60.06;61.41;61.15
Zerain;26.92;0.0;38.4;41.59;51.98;;57.5;59.57;61.67;64.16
Zestoa;28.44;0.0;28.03;41.18;52.37;;54.24;55.19;55.75;56.89
Ziortza-Bolibar;0.0;0.0;0.0;38.62;52.6;;54.89;56.87;58.01;59.41
Zizurkil;26.29;0.0;31.0;37.53;47.92;;51.9;52.68;53.61;53.67
Zumaia;37.59;0.0;39.72;49.79;60.71;;63.03;63.27;64.22;65.18
Zumarraga;31.0;0.0;31.02;40.04;49.52;;52.36;52.78;53.37;54.26
